# Phase 28 E5 certification matrix. GENERATED by wcore_eval_scenarios::e5_matrix — do not edit.
# Nine F28-01 dimensions x three OS families x the surfaces resolved from the candidate.
# Validated by: f28-ledger.py --check-matrix and --check-no-uncontrolled-skips
# max_surface_depth=1 cells=651
#cell_id	dimension	os	surface	criticality	applicability	skip_class	skip_evidence	activeness
unicode-windows-setup	unicode	windows	cmd:setup	standard	applicable	-	-	n/a
unicode-windows-swarm	unicode	windows	cmd:swarm	standard	applicable	-	-	n/a
unicode-windows-workflow	unicode	windows	cmd:workflow	standard	applicable	-	-	n/a
long-paths-linux-acp	long-paths	linux	cmd:acp	standard	applicable	-	-	n/a
long-paths-linux-agent	long-paths	linux	cmd:agent	standard	applicable	-	-	n/a
long-paths-linux-auth	long-paths	linux	cmd:auth	standard	applicable	-	-	n/a
long-paths-linux-backend	long-paths	linux	cmd:backend	standard	applicable	-	-	n/a
long-paths-linux-backup	long-paths	linux	cmd:backup	standard	applicable	-	-	n/a
long-paths-linux-cron	long-paths	linux	cmd:cron	standard	applicable	-	-	n/a
long-paths-linux-crucible	long-paths	linux	cmd:crucible	standard	applicable	-	-	n/a
long-paths-linux-fetch	long-paths	linux	cmd:fetch	standard	applicable	-	-	n/a
long-paths-linux-forge	long-paths	linux	cmd:forge	standard	applicable	-	-	n/a
long-paths-linux-gateway	long-paths	linux	cmd:gateway	standard	applicable	-	-	n/a
long-paths-linux-image	long-paths	linux	cmd:image	standard	applicable	-	-	n/a
long-paths-linux-init	long-paths	linux	cmd:init	standard	applicable	-	-	n/a
long-paths-linux-mcp-serve	long-paths	linux	cmd:mcp-serve	standard	applicable	-	-	n/a
long-paths-linux-migrate	long-paths	linux	cmd:migrate	standard	applicable	-	-	n/a
long-paths-linux-models	long-paths	linux	cmd:models	standard	applicable	-	-	n/a
long-paths-linux-node	long-paths	linux	cmd:node	standard	applicable	-	-	n/a
long-paths-linux-plugin	long-paths	linux	cmd:plugin	standard	applicable	-	-	n/a
long-paths-linux-profile	long-paths	linux	cmd:profile	standard	applicable	-	-	n/a
long-paths-linux-project-context	long-paths	linux	cmd:project-context	standard	applicable	-	-	n/a
long-paths-linux-self-update	long-paths	linux	cmd:self-update	standard	applicable	-	-	n/a
long-paths-linux-session	long-paths	linux	cmd:session	standard	applicable	-	-	n/a
long-paths-linux-setup	long-paths	linux	cmd:setup	standard	applicable	-	-	n/a
long-paths-linux-swarm	long-paths	linux	cmd:swarm	standard	applicable	-	-	n/a
